エージェント,カテゴリ,KPI ID,KPI名,レベル,目標値,単位,実績値,達成率,ベンチマーク下限,ベンチマーク上限,現実性判定,備考
🎯 COMMANDER,財務KGI,cmd_001,年商,KGI,1300000000,円,,0%,1000000000,1500000000,,
🎯 COMMANDER,財務KGI,cmd_002,営業利益,KGI,195000000,円,,0%,130000000,260000000,,
🎯 COMMANDER,財務KGI,cmd_003,営業利益率,KGI,15,%,,0%,10,20,,
🎯 COMMANDER,財務KGI,cmd_004,粗利,KPI-L1,845000000,円,,0%,650000000,910000000,,
🎯 COMMANDER,財務KGI,cmd_005,粗利率,KPI-L1,65,%,,0%,55,75,,
🎯 COMMANDER,財務KGI,cmd_006,ROIC,KPI-L1,25,%,,0%,15,35,,
🎯 COMMANDER,財務KGI,cmd_007,月商,KPI-L2,108000000,円,,0%,83000000,125000000,,
🎯 COMMANDER,財務KGI,cmd_008,日商,KPI-L2,3600000,円,,0%,2800000,4200000,,
🎯 COMMANDER,財務KGI,cmd_009,FCF,KPI-L2,150000000,円,,0%,100000000,200000000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_010,LTV-CPA,KGI,9462,円,,0%,5000,15000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_011,LTV÷CPA,KGI,3.0,倍,,0%,2.0,5.0,,
🎯 COMMANDER,ユニットエコノミクス,cmd_012,粗利LTV,KPI-L1,9750,円,,0%,6000,15000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_013,粗利LTV-CPA,KPI-L1,4212,円,,0%,2000,10000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_014,新規既存売上比率（新規）,KPI-L2,60,%,,0%,40,70,,
🎯 COMMANDER,ユニットエコノミクス,cmd_015,顧客資産価値総額,KPI-L2,1300000000,円,,0%,1000000000,1500000000,,
🎯 COMMANDER,チャネル別売上,cmd_016,Amazon売上,KPI-L1,550000000,円,,0%,400000000,650000000,,
🎯 COMMANDER,チャネル別売上,cmd_017,楽天売上,KPI-L1,350000000,円,,0%,250000000,450000000,,
🎯 COMMANDER,チャネル別売上,cmd_018,自社EC売上,KPI-L1,300000000,円,,0%,200000000,400000000,,
🎯 COMMANDER,チャネル別売上,cmd_019,B2B売上,KPI-L1,100000000,円,,0%,50000000,150000000,,
🎯 COMMANDER,チャネル別売上,cmd_020,Amazon構成比,KPI-L2,42,%,,0%,30,50,,
🎯 COMMANDER,チャネル別売上,cmd_021,楽天構成比,KPI-L2,27,%,,0%,20,35,,
📈 ACQUISITION,集客KGI,acq_001,広告経由売上,KGI,650000000,円,,0%,500000000,800000000,,
📈 ACQUISITION,集客KGI,acq_002,広告経由新規顧客数,KGI,26000,人,,0%,20000,35000,,
📈 ACQUISITION,集客KGI,acq_003,総広告費,KPI-L1,144000000,円,,0%,100000000,180000000,,
📈 ACQUISITION,集客KGI,acq_004,全体ROAS,KPI-L1,450,%,,0%,300,600,,
📈 ACQUISITION,集客KGI,acq_005,平均CPA,KPI-L1,5538,円,,0%,3000,8000,,
📈 ACQUISITION,Google Ads,acq_006,Google Ads年間予算,KPI-L1,35000000,円,,0%,25000000,50000000,,
📈 ACQUISITION,Google Ads,acq_007,Google Ads売上,KPI-L1,175000000,円,,0%,125000000,225000000,,
📈 ACQUISITION,Google Ads,acq_008,Google Ads ROAS,KPI-L1,500,%,,0%,350,650,,
📈 ACQUISITION,Google Ads,acq_009,Google Ads CPA,KPI-L2,5000,円,,0%,3000,7000,,
📈 ACQUISITION,Google Ads,acq_010,Google検索CTR,KPI-L2,4,%,,0%,2,6,,
📈 ACQUISITION,Google Ads,acq_011,Google検索CVR,KPI-L2,3,%,,0%,1.5,5,,
📈 ACQUISITION,Google Ads,acq_012,品質スコア,KPI-L3,7,点,,0%,5,10,,
📈 ACQUISITION,Meta Ads,acq_013,Meta Ads年間予算,KPI-L1,28000000,円,,0%,20000000,40000000,,
📈 ACQUISITION,Meta Ads,acq_014,Meta Ads売上,KPI-L1,126000000,円,,0%,90000000,160000000,,
📈 ACQUISITION,Meta Ads,acq_015,Meta Ads ROAS,KPI-L1,450,%,,0%,300,600,,
📈 ACQUISITION,Meta Ads,acq_016,Meta Ads CPA,KPI-L2,5600,円,,0%,3500,8000,,
📈 ACQUISITION,Meta Ads,acq_017,Meta CTR,KPI-L2,1.5,%,,0%,0.8,2.5,,
📈 ACQUISITION,Meta Ads,acq_018,Meta CVR,KPI-L2,2,%,,0%,1,4,,
📈 ACQUISITION,Amazon Ads,acq_019,Amazon Ads年間予算,KPI-L1,40000000,円,,0%,30000000,55000000,,
📈 ACQUISITION,Amazon Ads,acq_020,Amazon Ads売上,KPI-L1,200000000,円,,0%,150000000,250000000,,
📈 ACQUISITION,Amazon Ads,acq_021,Amazon Ads ROAS,KPI-L1,500,%,,0%,350,650,,
📈 ACQUISITION,Amazon Ads,acq_022,SP Manual ACoS,KPI-L2,18,%,,0%,10,25,,
📈 ACQUISITION,Amazon Ads,acq_023,SP Auto ACoS,KPI-L2,25,%,,0%,15,35,,
📈 ACQUISITION,Amazon Ads,acq_024,Amazon CVR,KPI-L2,15,%,,0%,10,20,,
📈 ACQUISITION,楽天RPP,acq_025,楽天RPP年間予算,KPI-L1,25000000,円,,0%,18000000,35000000,,
📈 ACQUISITION,楽天RPP,acq_026,楽天RPP売上,KPI-L1,100000000,円,,0%,70000000,130000000,,
📈 ACQUISITION,楽天RPP,acq_027,楽天RPP ROAS,KPI-L1,400,%,,0%,280,520,,
📈 ACQUISITION,楽天RPP,acq_028,楽天RPP ACoS,KPI-L2,18,%,,0%,12,25,,
📈 ACQUISITION,SEO/オーガニック,acq_029,オーガニック売上,KGI,400000000,円,,0%,300000000,500000000,,
📈 ACQUISITION,SEO/オーガニック,acq_030,年間オーガニックセッション,KPI-L1,5200000,セッション,,0%,3500000,7000000,,
📈 ACQUISITION,SEO/オーガニック,acq_031,オーガニックCVR,KPI-L1,3.5,%,,0%,2,5,,
📈 ACQUISITION,SEO/オーガニック,acq_032,検索順位（主要KW）,KPI-L2,3,位以内,,0%,1,10,,
📈 ACQUISITION,SEO/オーガニック,acq_033,インデックス数,KPI-L2,500,ページ,,0%,200,1000,,
📈 ACQUISITION,SEO/オーガニック,acq_034,ドメインランク,KPI-L2,50,DR,,0%,30,70,,
📈 ACQUISITION,SEO/オーガニック,acq_035,LCP,KPI-L3,2.5,秒以下,,0%,1.5,4,,
📈 ACQUISITION,SEO/オーガニック,acq_036,FID,KPI-L3,100,ms以下,,0%,50,300,,
📈 ACQUISITION,SEO/オーガニック,acq_037,CLS,KPI-L3,0.1,以下,,0%,0.05,0.25,,
📈 ACQUISITION,SEO/オーガニック,acq_038,被リンク数,KPI-L3,2000,件,,0%,500,5000,,
📈 ACQUISITION,LP/フォーム最適化,acq_039,LP経由売上,KGI,300000000,円,,0%,200000000,400000000,,
📈 ACQUISITION,LP/フォーム最適化,acq_040,LP CVR,KPI-L1,5,%,,0%,3,8,,
📈 ACQUISITION,LP/フォーム最適化,acq_041,カート購入完了率,KPI-L1,70,%,,0%,50,85,,
📈 ACQUISITION,LP/フォーム最適化,acq_042,間接LP→LP遷移率,KPI-L2,40,%,,0%,25,55,,
📈 ACQUISITION,LP/フォーム最適化,acq_043,LP直帰率,KPI-L2,40,%以下,,0%,25,60,,
📈 ACQUISITION,LP/フォーム最適化,acq_044,チャット型フォーム起動率,KPI-L2,15,%,,0%,8,25,,
📈 ACQUISITION,LP/フォーム最適化,acq_045,チャット型フォームCVR,KPI-L2,25,%,,0%,15,40,,
📈 ACQUISITION,アップセル/離脱防止,acq_046,アップセル/クロスセル売上,KGI,150000000,円,,0%,100000000,200000000,,
📈 ACQUISITION,アップセル/離脱防止,acq_047,サンクスページアップセル率,KPI-L1,8,%,,0%,4,15,,
📈 ACQUISITION,アップセル/離脱防止,acq_048,サンクスページクロスセル率,KPI-L1,12,%,,0%,6,20,,
📈 ACQUISITION,アップセル/離脱防止,acq_049,離脱回収売上,KGI,80000000,円,,0%,50000000,120000000,,
📈 ACQUISITION,アップセル/離脱防止,acq_050,離脱ポップアップ表示率,KPI-L2,30,%,,0%,20,45,,
📈 ACQUISITION,アップセル/離脱防止,acq_051,離脱ポップアップCVR,KPI-L2,5,%,,0%,2,10,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_052,パートナー経由売上,KGI,200000000,円,,0%,150000000,280000000,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_053,アフィリエイト売上,KPI-L1,120000000,円,,0%,80000000,160000000,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_054,インフルエンサー売上,KPI-L1,80000000,円,,0%,50000000,120000000,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_055,アクティブパートナー数,KPI-L2,200,人,,0%,100,350,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_056,EPC,KPI-L2,300,円,,0%,150,500,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_057,パートナーCVR,KPI-L2,4,%,,0%,2,7,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_058,インフルエンサー契約数,KPI-L3,50,人/年,,0%,25,100,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_059,インフルエンサーROI,KPI-L3,300,%,,0%,150,500,,
📈 ACQUISITION,アフィリエイト/インフルエンサー,acq_060,UGC生成数,KPI-L3,1000,件/年,,0%,500,2000,,
✏️ CREATIVE,コンテンツKGI,cre_001,ブランド認知度,KGI,30,%,,0%,15,50,,
✏️ CREATIVE,コンテンツKGI,cre_002,年間コンテンツ制作数,KGI,2400,件,,0%,1500,3500,,
✏️ CREATIVE,コンテンツKGI,cre_003,商品コンテンツ数,KPI-L1,400,件/年,,0%,250,600,,
✏️ CREATIVE,コンテンツKGI,cre_004,マーケコンテンツ数,KPI-L1,200,件/年,,0%,100,350,,
✏️ CREATIVE,コンテンツKGI,cre_005,SNSコンテンツ数,KPI-L1,1800,件/年,,0%,1200,2500,,
✏️ CREATIVE,商品ページKPI,cre_006,商品ページCVR（全体）,KGI,4,%,,0%,2,6,,
✏️ CREATIVE,商品ページKPI,cre_007,Amazon CVR,KPI-L1,12,%,,0%,8,18,,
✏️ CREATIVE,商品ページKPI,cre_008,楽天CVR,KPI-L1,8,%,,0%,5,12,,
✏️ CREATIVE,商品ページKPI,cre_009,自社EC CVR,KPI-L1,3.5,%,,0%,2,6,,
✏️ CREATIVE,商品ページKPI,cre_010,商品ページ滞在時間,KPI-L2,180,秒以上,,0%,90,300,,
✏️ CREATIVE,商品ページKPI,cre_011,画像閲覧数,KPI-L2,4,枚以上,,0%,2,7,,
✏️ CREATIVE,商品ページKPI,cre_012,スクロール深度,KPI-L2,80,%以上,,0%,50,95,,
✏️ CREATIVE,SNS KPI,cre_013,総フォロワー数,KGI,300000,人,,0%,150000,500000,,
✏️ CREATIVE,SNS KPI,cre_014,SNS経由売上,KGI,100000000,円,,0%,60000000,150000000,,
✏️ CREATIVE,SNS KPI,cre_015,Instagramフォロワー,KPI-L1,150000,人,,0%,80000,250000,,
✏️ CREATIVE,SNS KPI,cre_016,Twitter/Xフォロワー,KPI-L1,80000,人,,0%,40000,150000,,
✏️ CREATIVE,SNS KPI,cre_017,TikTokフォロワー,KPI-L1,50000,人,,0%,20000,100000,,
✏️ CREATIVE,SNS KPI,cre_018,LINE公式友だち,KPI-L1,100000,人,,0%,50000,200000,,
✏️ CREATIVE,SNS KPI,cre_019,エンゲージメント率（全体）,KPI-L1,5,%,,0%,2,8,,
✏️ CREATIVE,SNS KPI,cre_020,Instagram保存率,KPI-L2,3,%,,0%,1,5,,
✏️ CREATIVE,SNS KPI,cre_021,リール再生数,KPI-L2,100000,/投稿,,0%,30000,300000,,
✏️ CREATIVE,SNS KPI,cre_022,UGC投稿数,KPI-L2,500,件/月,,0%,200,1000,,
✏️ CREATIVE,広告クリエイティブKPI,cre_023,A/Bテスト勝率,KPI-L1,30,%,,0%,20,45,,
✏️ CREATIVE,広告クリエイティブKPI,cre_024,A/Bテスト実施数,KPI-L2,8,回/月,,0%,4,15,,
✏️ CREATIVE,広告クリエイティブKPI,cre_025,クリエイティブ更新頻度,KPI-L2,4,回/月,,0%,2,8,,
📊 INSIGHT,顧客分析KGI,ins_001,LTV,KGI,15000,円,,0%,8000,25000,,
📊 INSIGHT,顧客分析KGI,ins_002,LTV/CAC比率,KGI,3.0,倍,,0%,2.0,5.0,,
📊 INSIGHT,顧客分析KGI,ins_003,年間購入回数,KPI-L1,2.0,回,,0%,1.3,3.0,,
📊 INSIGHT,顧客分析KGI,ins_004,平均客単価,KPI-L1,7500,円,,0%,5000,12000,,
📊 INSIGHT,顧客分析KGI,ins_005,顧客継続率,KPI-L1,40,%,,0%,25,55,,
📊 INSIGHT,顧客分析KGI,ins_006,F2転換率,KPI-L2,30,%,,0%,18,45,,
📊 INSIGHT,顧客分析KGI,ins_007,F3+転換率,KPI-L2,50,%,,0%,35,65,,
📊 INSIGHT,顧客分析KGI,ins_008,購入間隔,KPI-L2,45,日,,0%,30,90,,
📊 INSIGHT,顧客分析KGI,ins_009,NPS,KPI-L3,50,以上,,0%,30,70,,
📊 INSIGHT,顧客分析KGI,ins_010,顧客満足度,KPI-L3,4.5,/5.0,,0%,4.0,4.8,,
📊 INSIGHT,予測分析KPI,ins_011,売上予測精度（MAPE）,KPI-L1,10,%以下,,0%,5,20,,
📊 INSIGHT,予測分析KPI,ins_012,需要予測精度（MAPE）,KPI-L1,15,%以下,,0%,8,25,,
📊 INSIGHT,予測分析KPI,ins_013,LTV予測誤差,KPI-L1,20,%以下,,0%,10,35,,
📊 INSIGHT,予測分析KPI,ins_014,離脱予測AUC,KPI-L2,0.8,以上,,0%,0.7,0.95,,
📊 INSIGHT,異常検知KPI,ins_015,異常検知時間,KPI-L1,2,時間以内,,0%,0.5,6,,
📊 INSIGHT,異常検知KPI,ins_016,データドリブン意思決定率,KGI,90,%,,0%,70,98,,
💌 ENGAGEMENT,顧客エンゲージメントKGI,eng_001,リピート売上,KGI,520000000,円,,0%,400000000,650000000,,
💌 ENGAGEMENT,顧客エンゲージメントKGI,eng_002,リピート顧客数,KGI,34667,人,,0%,25000,45000,,
💌 ENGAGEMENT,顧客エンゲージメントKGI,eng_003,リピート率,KGI,40,%,,0%,28,55,,
💌 ENGAGEMENT,F転換率詳細,eng_004,F2転換率,KPI-L1,30,%,,0%,18,45,,
💌 ENGAGEMENT,F転換率詳細,eng_005,F3転換率,KPI-L1,50,%,,0%,35,65,,
💌 ENGAGEMENT,F転換率詳細,eng_006,F4+転換率,KPI-L1,70,%,,0%,55,85,,
💌 ENGAGEMENT,F転換率詳細,eng_007,F2購入リーセンシー,KPI-L2,30,日以内,,0%,14,60,,
💌 ENGAGEMENT,F転換率詳細,eng_008,F3購入リーセンシー,KPI-L2,25,日以内,,0%,10,45,,
💌 ENGAGEMENT,メールマーケティング,eng_009,メール経由売上,KGI,120000000,円,,0%,80000000,180000000,,
💌 ENGAGEMENT,メールマーケティング,eng_010,配信リスト数,KPI-L1,500000,件,,0%,300000,800000,,
💌 ENGAGEMENT,メールマーケティング,eng_011,平均開封率,KPI-L1,25,%,,0%,15,35,,
💌 ENGAGEMENT,メールマーケティング,eng_012,平均クリック率,KPI-L1,4,%,,0%,2,7,,
💌 ENGAGEMENT,メールマーケティング,eng_013,メール経由CVR,KPI-L2,2,%,,0%,1,4,,
💌 ENGAGEMENT,メールマーケティング,eng_014,配信解除率,KPI-L2,0.3,%以下,,0%,0.1,0.8,,
💌 ENGAGEMENT,メールマーケティング,eng_015,到達率,KPI-L3,99,%以上,,0%,95,100,,
💌 ENGAGEMENT,LINE公式,eng_016,LINE経由売上,KGI,80000000,円,,0%,50000000,120000000,,
💌 ENGAGEMENT,LINE公式,eng_017,友だち数,KPI-L1,100000,人,,0%,60000,180000,,
💌 ENGAGEMENT,LINE公式,eng_018,ブロック率,KPI-L1,10,%以下,,0%,5,20,,
💌 ENGAGEMENT,LINE公式,eng_019,開封率,KPI-L1,60,%,,0%,40,80,,
💌 ENGAGEMENT,LINE公式,eng_020,クリック率,KPI-L2,15,%,,0%,8,25,,
💌 ENGAGEMENT,LINE公式,eng_021,LINE経由CVR,KPI-L2,3,%,,0%,1.5,6,,
💌 ENGAGEMENT,定期購入,eng_022,定期顧客LTV,KGI,45000,円,,0%,25000,70000,,
💌 ENGAGEMENT,定期購入,eng_023,定期平均継続月数,KPI-L1,8,ヶ月,,0%,4,14,,
💌 ENGAGEMENT,定期購入,eng_024,定期1ヶ月継続率,KPI-L2,90,%,,0%,80,96,,
💌 ENGAGEMENT,定期購入,eng_025,定期3ヶ月継続率,KPI-L2,75,%,,0%,60,88,,
💌 ENGAGEMENT,定期購入,eng_026,定期6ヶ月継続率,KPI-L2,60,%,,0%,45,78,,
💌 ENGAGEMENT,定期購入,eng_027,定期解約抑止率,KPI-L2,30,%,,0%,15,50,,
💌 ENGAGEMENT,カスタマーサポート,eng_028,顧客満足度（CSAT）,KGI,4.5,/5.0,,0%,4.0,4.9,,
💌 ENGAGEMENT,カスタマーサポート,eng_029,NPS,KGI,50,以上,,0%,30,70,,
💌 ENGAGEMENT,カスタマーサポート,eng_030,初回応答時間,KPI-L1,2,時間以内,,0%,0.5,8,,
💌 ENGAGEMENT,カスタマーサポート,eng_031,解決時間,KPI-L1,24,時間以内,,0%,4,48,,
💌 ENGAGEMENT,カスタマーサポート,eng_032,一次解決率,KPI-L1,80,%,,0%,65,92,,
💌 ENGAGEMENT,カスタマーサポート,eng_033,問い合わせ件数,KPI-L2,3000,件/月,,0%,1500,5000,,
💌 ENGAGEMENT,カスタマーサポート,eng_034,エスカレーション率,KPI-L2,5,%以下,,0%,2,12,,
💌 ENGAGEMENT,カスタマーサポート,eng_035,再問い合わせ率,KPI-L2,10,%以下,,0%,4,18,,
💌 ENGAGEMENT,レビュー/口コミ,eng_036,平均レビュー評価,KGI,4.3,以上,,0%,3.8,4.7,,
💌 ENGAGEMENT,レビュー/口コミ,eng_037,レビュー数,KPI-L1,20000,件/年,,0%,10000,35000,,
💌 ENGAGEMENT,レビュー/口コミ,eng_038,レビュー獲得率,KPI-L1,25,%,,0%,12,40,,
💌 ENGAGEMENT,レビュー/口コミ,eng_039,ネガティブレビュー対応率,KPI-L2,100,%,,0%,90,100,,
⚙️ OPERATIONS,運用KGI,ops_001,サイト全体CVR,KGI,4.0,%,,0%,2.5,6.0,,
⚙️ OPERATIONS,運用KGI,ops_002,カート追加率,KPI-L1,15,%,,0%,10,22,,
⚙️ OPERATIONS,運用KGI,ops_003,カート離脱率,KPI-L1,70,%以下,,0%,55,80,,
⚙️ OPERATIONS,運用KGI,ops_004,決済完了率,KPI-L1,85,%,,0%,70,95,,
⚙️ OPERATIONS,運用KGI,ops_005,A/Bテスト実施数,KPI-L2,8,回/月,,0%,4,15,,
⚙️ OPERATIONS,運用KGI,ops_006,テスト勝率,KPI-L2,30,%,,0%,20,45,,
⚙️ OPERATIONS,価格最適化,ops_007,粗利率,KGI,65,%,,0%,55,75,,
⚙️ OPERATIONS,価格最適化,ops_008,平均客単価,KGI,7500,円,,0%,5000,12000,,
⚙️ OPERATIONS,価格最適化,ops_009,Amazon Buy Box率,KPI-L1,95,%,,0%,85,99,,
⚙️ OPERATIONS,価格最適化,ops_010,値引き率,KPI-L2,8,%以下,,0%,3,15,,
⚙️ OPERATIONS,価格最適化,ops_011,競合価格差,KPI-L2,5,%以内,,0%,0,12,,
⚙️ OPERATIONS,在庫管理,ops_012,在庫回転日数,KGI,45,日,,0%,25,75,,
⚙️ OPERATIONS,在庫管理,ops_013,在庫金額,KGI,150000000,円,,0%,100000000,200000000,,
⚙️ OPERATIONS,在庫管理,ops_014,欠品率,KPI-L1,2,%以下,,0%,0.5,5,,
⚙️ OPERATIONS,在庫管理,ops_015,欠品機会損失,KPI-L1,20000000,円以下/年,,0%,5000000,50000000,,
⚙️ OPERATIONS,在庫管理,ops_016,過剰在庫率,KPI-L1,5,%以下,,0%,2,12,,
⚙️ OPERATIONS,在庫管理,ops_017,発注精度,KPI-L2,90,%,,0%,75,98,,
⚙️ OPERATIONS,在庫管理,ops_018,安全在庫日数,KPI-L2,7,日,,0%,3,14,,
⚙️ OPERATIONS,在庫管理,ops_019,廃棄率,KPI-L3,1,%以下,,0%,0.2,3,,
⚙️ OPERATIONS,在庫管理,ops_020,在庫期限切れ率,KPI-L3,0.5,%以下,,0%,0.1,2,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_021,CS品質スコア,KGI,95,点以上,,0%,85,100,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_022,入電数,KPI-L1,1500,件/月,,0%,800,2500,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_023,入電応答率,KPI-L1,95,%以上,,0%,85,99,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_024,平均応答速度（ASA）,KPI-L1,20,秒以内,,0%,10,45,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_025,CPH,KPI-L2,8,件以上,,0%,5,12,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_026,CPC,KPI-L2,500,円以下,,0%,250,900,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_027,VOC収集数,KPI-L2,500,件/月,,0%,200,1000,,
⚙️ OPERATIONS,CS詳細（運用品質）,ops_028,VOC問題解消数,KPI-L2,20,件/月,,0%,8,40,,
⚙️ OPERATIONS,フルフィルメント,ops_029,フルフィルメント品質スコア,KGI,99,%以上,,0%,95,100,,
⚙️ OPERATIONS,フルフィルメント,ops_030,配送コスト率,KGI,8,%以下,,0%,5,12,,
⚙️ OPERATIONS,フルフィルメント,ops_031,平均配送日数,KPI-L1,2,日以内,,0%,1,4,,
⚙️ OPERATIONS,フルフィルメント,ops_032,配送遅延率,KPI-L1,1,%以下,,0%,0.2,3,,
⚙️ OPERATIONS,フルフィルメント,ops_033,誤配送率,KPI-L1,0.05,%以下,,0%,0.01,0.2,,
⚙️ OPERATIONS,フルフィルメント,ops_034,規定リードタイム内出荷完了率,KPI-L2,98,%以上,,0%,92,100,,
⚙️ OPERATIONS,フルフィルメント,ops_035,汚破損率,KPI-L2,0.1,%以下,,0%,0.02,0.3,,
⚙️ OPERATIONS,フルフィルメント,ops_036,PPM（誤出荷発生率）,KPI-L2,100,以下,,0%,20,300,,
⚙️ OPERATIONS,フルフィルメント,ops_037,返品率,KPI-L2,3,%以下,,0%,1,6,,
⚙️ OPERATIONS,フルフィルメント,ops_038,返金率,KPI-L3,2,%以下,,0%,0.5,4,,
⚙️ OPERATIONS,フルフィルメント,ops_039,FBA活用率,KPI-L2,70,%,,0%,50,90,,
⚙️ OPERATIONS,フルフィルメント,ops_040,翌日配送率,KPI-L2,50,%,,0%,30,75,,
